OrderID,OrderDate,CustomerName,CustomerEmail,Country,City,ProductName,Category,Quantity,UnitPrice,Total,Currency,PaymentMethod,DeliveryDate,DeliveryStatus,Notes,CombinedField
,2024-12-10,احمد محمد,ahmed[at]gmail[dot]com,EGY, ,Lap-top,Laptop,1,USD 100,10000,,,04-12-2025,Delivered,urgent,Order#None | Customer: احمد محمد | Product: Lap-top | Price: USD 100
5348.0,,,,UAE, ,,Accessories,three,3000,10000,EGP,pay on delevery,,Delivered,,Order#5348 | Customer: None | Product: None | Price: 3000
,05-05-2025,Phyllis Houston,invalid_email,ksa,alex,IPHONE,Accessories,3,3000,10000,,paypal,16/01/2024,pending,تحقق,Order#None | Customer: Phyllis Houston | Product: IPHONE | Price: 3000
5186.0,,,ahmed[at]gmail[dot]com,egypt,alex,IPHONE,Laptop,,,,Ten Thousand Egyptian Pounds,,invalid,,urgent,Order#5186 | Customer: None | Product: IPHONE | Price: None
9955.0,,Jose Osborne,courtney14@...,ksa, ,I-phone,Accessories,1,two thousand,,usd,Credit Card,,lost,urgent,Order#9955 | Customer: Jose Osborne | Product: I-phone | Price: two thousand
,2024-04-06,,MICHAELSCHROEDER@HOTMAIL.COM, ,cairo,I-phone,mobile,,,wrong,USD,,invalid,,urgent,Order#None | Customer:  | Product: I-phone | Price: None
,,احمد محمد,ahmed[at]gmail[dot]com,uae,Alex,I-phone,,2,2500 جنيه,5000,,Credit Card,,delivered,...,Order#None | Customer: احمد محمد | Product: I-phone | Price: 2500 جنيه
8942.0,09-09-2023,,,uae,cairo,IPHONE,mobile,1,2500,wrong,EUR,pay on delevery,,pending,urgent,Order#8942 | Customer: None | Product: IPHONE | Price: 2500
,invalid,احمد محمد,karen02@hotmail.com,EG, ,Lap-top,Lap-top,three,1000,10000,USD 300,,10-17-2023,lost,,Order#None | Customer: احمد محمد | Product: Lap-top | Price: 1000
,2025-06-10,,morrisonwilliam@...,,Cairo,Headphones,Laptop,Two,EGP,,USD,,,,,Order#None | Customer:  | Product: Headphones | Price: EGP
3472.0,12-09-2023,,michael60@charles.com,uae, ,I-phone,I-phone,Two,2500,wrong,,,09/07/2024,pending,تحقق,Order#3472 | Customer:  | Product: I-phone | Price: 2500
9711.0,,Ahmed محمد,wheelerfred@yahoo.com,EGY,Cairo,HEADPHONES,,Two,two thousand,,جنيه,cash,invalid,Delivered,,Order#9711 | Customer: Ahmed محمد | Product: HEADPHONES | Price: two thousand
,invalid,,ahmed[at]gmail[dot]com,EGY, ,,,1,1000,10000,USD 300,cash,2035-01-01,,,Order#None | Customer: None | Product: None | Price: 1000
4727.0,,,kristina01@...,UAE,,Headphones,mobile,3,,,USD,,,Delivered,,Order#4727 | Customer:  | Product: Headphones | Price: None
,,AHMED MOHAMED,ROBERTBROWN@GMAIL.COM,Egypt,Dubai,HEADPHONES,,three,2500,10000,جنيه,,,,XX,Order#None | Customer: AHMED MOHAMED | Product: HEADPHONES | Price: 2500
7502.0,07-05-2024,Nancy Hayes,,EGY,Cairo,Headphones,mobile,,two thousand,,Ten Thousand Egyptian Pounds,,03-19-2024,,XX,Order#7502 | Customer: Nancy Hayes | Product: Headphones | Price: two thousand
6891.0,2024-09-16,AHMED MOHAMED,,KSA,Alex,IPHONE,Accessories,three,3000,wrong,EGP,paypal,2035-01-01,,,Order#6891 | Customer: AHMED MOHAMED | Product: IPHONE | Price: 3000
4464.0,,Ahmed محمد,invalid_email,KSA,cairo,,Mobile,1,USD 100,wrong,EGP,,2035-01-01,,,Order#4464 | Customer: Ahmed محمد | Product: None | Price: USD 100
,01-13-2025,Catherine Jenkins,MARY93@JUAREZ.COM,,alex,Headphones,mobile,Two,EGP,10000,,,2035-01-01,pending,,Order#None | Customer: Catherine Jenkins | Product: Headphones | Price: EGP
,,AHMED MOHAMED,ahmed[at]gmail[dot]com,Egypt,Cairo,HEADPHONES,,1,2500,,Ten Thousand Egyptian Pounds,cash,,pending,,Order#None | Customer: AHMED MOHAMED | Product: HEADPHONES | Price: 2500
